Country,Sales_Tax
Afghanistan,10
Albania,20
Algeria,19
Andorra,4.5
Angola,14
Antigua And Barbuda,15
Argentina,21
Armenia,20
Aruba,3
Australia,10
Austria,20
Azerbaijan,18
Bahamas,12
Bahrain,10
Bangladesh,15
Barbados,17.5
Belarus,20
Belgium,21
Belize,12.5
Benin,18
Bhutan,50
Bolivia (Plurinational State of),13
Bosnia and Herzegovina,17
Botswana,14
Brazil,17
Bulgaria,20
Burkina Faso,18
Burundi,18
Cambodia,10
Cameroon,19.5
Canada,5
Cape Verde,15
Central African Republic,19
Chad,18
Chile,19
China,13
Colombia,19
Comoros,10
Congo,16
Costa Rica,13
Croatia,25
Cuba,20
Cyprus,19
Czechia,21
Denmark,25
Djibouti,10
Dominica,15
Dominican Republic,18
Ecuador,12
Egypt,14
El Salvador,13
Equatorial Guinea,15
Eritrea,5
Estonia,20
Ethiopia,15
Euro Area,20.8
European Union,21
Fiji,9
Finland,24
France,20
Gabon,18
Gambia,15
Georgia,18
Germany,19
Ghana,15
Greece,24
Grenada,15
Guam,2
Guatemala,12
Guinea,18
Guyana,14
Haiti,10
Honduras,15
Hungary,27
Iceland,24
India,18
Indonesia,11
Iran (Islamic Republic of),9
Ireland,23
Isle Of Man,20
Israel,17
Italy,22
Côte d'Ivoire,18
Jamaica,15
Japan,10
Jordan,16
Kazakhstan,12
Kenya,16
Kosovo,18
Kyrgyzstan,12
Lao People's Democratic Republic,10
Latvia,21
Lebanon,11
Lesotho,15
Liechtenstein,7.7
Lithuania,21
Luxembourg,16
Macedonia,18
Madagascar,20
Malawi,16.5
Malaysia,10
Mali,18
Malta,18
Mauritania,16
Mauritius,15
Mexico,16
Micronesia,5
Moldova,20
Monaco,20
Mongolia,10
Montenegro,21
Morocco,20
Mozambique,16
Myanmar,5
Namibia,15
Nepal,13
Netherlands,21
New Zealand,15
Nicaragua,15
Niger,19
Nigeria,7.5
Korea (Democratic People's Republic of),15
Norway,25
Oman,5
Pakistan,17
Panama,7
Papua New Guinea,10
Paraguay,10
Peru,18
Philippines,12
Poland,23
Portugal,23
Republic of the Congo,18.9
Romania,19
Russian Federation,20
Rwanda,18
Samoa,15
Saudi Arabia,15
Senegal,18
Serbia,20
Seychelles,15
Sierra Leone,15
Singapore,7
Slovakia,20
Slovenia,22
Solomon Islands,10
Somalia,10
South Africa,15
South Korea,10
Spain,21
Sri Lanka,8
Saint Lucia,15
Sudan,17
Suriname,10
Swaziland,15
Sweden,25
Switzerland,7.7
"Taiwan, Province of China",5
Tajikistan,15
"Tanzania, United Republic of",18
Thailand,7
Togo,18
Tonga,15
Trinidad And Tobago,12.5
Tunisia,19
Turkey,18
Turkmenistan,15
Uganda,18
Ukraine,20
United Arab Emirates,5
United Kingdom of Great Britain and Northern Ireland,20
United States of America,0
Uruguay,22
Uzbekistan,15
Vanuatu,15
Venezuela (Bolivarian Republic of),16
Viet Nam,10
Zambia,16
Zimbabwe,14.5