Date,GRA Purchases,PRGT 1/2/,Totals,GDP,Totals/GDP,Year
12/31/2021,8.95E+10,1.46E+10,1.04E+11,7.99E+14,1.30E-04,2021
12/31/2020,9.34E+10,1.25E+10,1.06E+11,7.02E+14,1.51E-04,2020
12/31/2019,6.69E+10,6590835450,7.35E+10,7.25E+14,1.01E-04,2019
12/31/2018,5.54E+10,6426181029,6.18E+10,7.14E+14,8.65E-05,2018
12/31/2017,3.96E+10,6522280669,4.61E+10,6.73E+14,6.85E-05,2017
12/31/2016,4.93E+10,6482647937,5.58E+10,6.28E+14,8.88E-05,2016
12/31/2015,5.08E+10,6575911158,5.73E+10,6.19E+14,9.26E-05,2015
12/31/2014,6.90E+10,6292755583,7.53E+10,6.60E+14,1.14E-04,2014
12/31/2013,8.39E+10,6174392682,9.01E+10,6.42E+14,1.40E-04,2013
12/31/2012,9.00E+10,5766292503,9.58E+10,6.19E+14,1.55E-04,2012
12/31/2011,8.73E+10,5308609594,9.26E+10,6.03E+14,1.53E-04,2011
12/31/2010,5.56E+10,4819344134,6.04E+10,5.39E+14,1.12E-04,2010
12/31/2009,3.72E+10,5079705286,4.23E+10,4.85E+14,8.72E-05,2009
12/31/2008,1.75E+10,3972372030,2.15E+10,5.11E+14,4.20E-05,2008
12/31/2007,6036146757,3796945581,9833092338,4.57E+14,2.15E-05,2007
12/31/2006,9822640239,3844020520,1.37E+10,3.99E+14,3.42E-05,2006
12/31/2005,2.84E+10,6282121668,3.47E+10,3.63E+14,9.55E-05,2005
12/31/2004,5.54E+10,6766029353,6.21E+10,3.32E+14,1.87E-04,2004
12/31/2003,6.50E+10,6880893268,7.19E+10,2.92E+14,2.46E-04,2003
12/31/2002,6.36E+10,6868671012,7.05E+10,2.59E+14,2.73E-04,2002
12/31/2001,5.35E+10,6424578684,5.99E+10,2.49E+14,2.41E-04,2001
12/31/2000,4.30E+10,6331595468,4.93E+10,2.49E+14,1.98E-04,2000
12/31/1999,5.11E+10,6434274362,5.75E+10,2.41E+14,2.38E-04,1999
12/31/1998,6.05E+10,6288825925,6.67E+10,2.35E+14,2.84E-04,1998
12/31/1997,4.66E+10,6009867422,5.26E+10,2.35E+14,2.23E-04,1997
12/31/1996,3.61E+10,5881609752,4.20E+10,2.36E+14,1.78E-04,1996
12/31/1995,3.59E+10,5657438528,4.16E+10,2.29E+14,1.82E-04,1995
12/31/1994,2.56E+10,4599768498,3.02E+10,2.04E+14,1.48E-04,1994
12/31/1993,2.52E+10,3942792899,2.91E+10,1.89E+14,1.54E-04,1993
12/31/1992,2.40E+10,3804463796,2.78E+10,1.87E+14,1.49E-04,1992
12/31/1991,2.34E+10,3285717796,2.67E+10,1.75E+14,1.52E-04,1991
12/31/1990,2.07E+10,2571911617,2.33E+10,1.70E+14,1.37E-04,1990
12/31/1989,2.23E+10,2334886562,2.47E+10,1.48E+14,1.66E-04,1989
12/31/1988,2.48E+10,1773964293,2.65E+10,1.43E+14,1.86E-04,1988
12/31/1987,2.88E+10,1866342930,3.06E+10,1.26E+14,2.42E-04,1987
12/31/1986,3.33E+10,2013169931,3.53E+10,1.12E+14,3.16E-04,1986
12/31/1985,3.52E+10,2470247948,3.77E+10,9.56E+13,3.94E-04,1985
12/31/1984,3.49E+10,2769874900,3.77E+10,9.15E+13,4.12E-04,1984