State,Population,Lawful Permanent Residents,Nonimmigrants,Naturalizations,Refugees,Asylees,Migration
Alabama,5039877,2887,49893,1614,0,25,1.08
Alaska,732673,761,48380,890,12,N/A,6.83
Arizona,7276316,14466,486163,17512,422,151,7.13
Arkansas,3025891,2586,29548,2074,41,12,1.13
California,39237836,135181,1859671,171863,986,5197,5.54
Colorado,5812069,10146,167072,8819,265,135,3.21
Connecticut,3605597,8646,71392,11705,59,187,2.55
Delaware,1003384,1830,13458,1808,12,44,1.71
District of Columbia,670050,1915,82283,1822,N/A,124,12.86
Florida,21781128,83227,3157503,109235,222,852,15.39
Georgia,10799566,20033,274610,16476,368,136,2.89
Hawaii,1441553,2452,49868,3801,0,25,3.89
Idaho,1900923,1714,21397,1537,269,23,1.31
Illinois,12671469,26228,341868,22684,372,1036,3.1
Indiana,6805985,7223,77584,6112,202,378,1.34
Iowa,3193079,3450,26690,3304,245,35,1.06
Kansas,2934582,3399,28612,2961,167,39,1.2
Kentucky,4509394,4401,41308,5047,669,72,1.14
Louisiana,4624047,3137,71089,2338,7,514,1.67
Maine,1372247,899,34573,1153,40,43,2.68
Maryland,6165129,17284,118418,19797,282,1171,2.55
Massachusetts,6984723,22431,232671,24085,230,450,4.01
Michigan,10050811,13929,367311,11716,534,191,3.92
Minnesota,5707390,8774,60045,9400,273,240,1.38
Mississippi,2949965,1165,23049,951,0,71,0.86
Missouri,6168187,5002,46900,4540,290,91,0.92
Montana,1104271,404,13403,456,39,4,1.3
Nebraska,1963692,2915,76023,2655,125,51,4.16
Nevada,3143991,7290,251956,8061,97,108,8.51
New Hampshire,1388992,1675,13539,1960,59,14,1.24
New Jersey,9267130,37844,364637,39953,72,661,4.78
New Mexico,2115877,2821,28707,2556,36,33,1.61
New York,19835913,76127,1183339,89989,710,1954,6.82
North Carolina,10551162,15732,164368,13173,502,259,1.84
North Dakota,774948,996,11443,1324,30,4,1.78
Ohio,11780017,11932,104930,11284,453,337,1.09
Oklahoma,3986639,3703,32595,3695,25,26,1
Oregon,4246155,6381,63444,6422,138,34,1.8
Pennsylvania,12964056,17306,159304,19693,402,460,1.52
Puerto Rico,3263584,1326,30833,1174,0,11,1.02
Rhode Island,1095610,2218,18613,2979,47,41,2.18
South Carolina,5190705,4378,56713,2544,99,37,1.23
South Dakota,895376,681,7640,960,51,10,1.04
Tennessee,6975218,7277,75300,4625,315,78,1.26
Texas,29527941,78873,2002632,77025,929,803,7.32
Utah,3337975,5552,65486,3961,183,225,2.26
Vermont,645570,423,12962,591,47,N/A,2.17
Virginia,8642274,20428,152928,20732,272,777,2.26
Washington,7738692,22145,243103,19511,480,335,3.69
West Virginia,1782959,494,8205,486,N/A,5,0.52
Wisconsin,5895908,5025,49929,5029,371,146,1.03
Wyoming,578803,280,5827,227,0,0,1.09