Date,GRA Purchases,PRGT 1/2/,RST,Totals,Year,Tot_billions,Tot_div_worldGDP,World_GDP_(current US$)
10/31/2022,"93,054,287,423","15,329,531,139",0,108383818562,2022,108.38,,
12/31/2021,"89,474,552,025","14,554,823,681",0,104029375706,2021,104.03,0.108251069,9.61E+13
12/31/2020,"93,408,630,285","12,481,816,684",0,105890446969,2020,105.89,0.124713721,8.49E+13
12/31/2019,"66,945,509,865","6,590,835,450",0,73536345315,2019,73.54,0.083894972,8.77E+13
12/31/2018,"55,395,611,392","6,426,181,029",0,61821792421,2018,61.82,0.071542209,8.64E+13
12/31/2017,"39,585,385,873","6,522,280,669",0,46107666542,2017,46.11,0.056640557,8.14E+13
12/31/2016,"49,267,630,851","6,482,647,937",0,55750278788,2016,55.75,0.072908976,7.65E+13
12/31/2015,"50,757,840,741","6,575,911,158",0,57333751899,2015,57.33,0.076262718,7.52E+13
12/31/2014,"69,041,563,463","6,292,755,583",0,75334319046,2014,75.33,0.094511908,7.97E+13
12/31/2013,"83,899,249,061","6,174,392,682",0,90073641743,2013,90.07,0.116063514,7.76E+13
12/31/2012,"90,042,348,252","5,766,292,503",0,95808640755,2012,95.81,0.126918927,7.55E+13
12/31/2011,"87,276,915,790","5,308,609,594",0,92585525384,2011,92.59,0.125363279,7.39E+13
12/31/2010,"55,620,104,510","4,819,344,134",0,60439448644,2010,60.44,0.090755304,6.66E+13
12/31/2009,"37,221,142,436","5,079,705,286",0,42300847722,2009,42.3,0.069563338,6.08E+13
12/31/2008,"17,514,964,723","3,972,372,030",0,21487336753,2008,21.49,0.033509194,6.41E+13
12/31/2007,"6,036,146,757","3,796,945,581",0,9833092338,2007,9.83,0.016850467,5.84E+13
12/31/2006,"9,822,640,239","3,844,020,520",0,13666660759,2006,13.67,0.026393784,5.18E+13
12/31/2005,"28,432,143,237","6,282,121,668",0,34714264905,2005,34.71,0.072654818,4.78E+13
12/31/2004,"55,373,766,674","6,766,029,353",0,62139796027,2004,62.14,0.140850351,4.41E+13
12/31/2003,"65,032,062,712","6,880,893,268",0,71912955980,2003,71.91,0.183699842,3.91E+13
12/31/2002,"63,601,058,794","6,868,671,012",0,70469729806,2002,70.47,0.201852905,3.49E+13
12/31/2001,"53,477,225,409","6,424,578,684",0,59901804093,2001,59.9,0.178197314,3.36E+13
12/31/2000,"42,990,531,049","6,331,595,468",0,49322126517,2000,49.32,0.145790261,3.38E+13
12/31/1999,"51,061,861,875","6,434,274,362",0,57496136237,1999,57.5,0.175628426,3.27E+13
12/31/1998,"60,451,017,051","6,288,825,925",0,66739842976,1998,66.74,0.211604097,3.15E+13
12/31/1997,"46,559,033,783","6,009,867,422",0,52568901205,1997,52.57,0.166249727,3.16E+13
12/31/1996,"36,127,472,805","5,881,609,752",0,42009082557,1996,42.01,0.132367686,3.17E+13
12/31/1995,"35,929,173,412","5,657,438,528",0,41586611940,1995,41.59,0.133961743,3.10E+13
12/31/1994,"25,611,676,952","4,599,768,498",0,30211445450,1994,30.21,0.108392541,2.79E+13
12/31/1993,"25,196,745,031","3,942,792,899",0,29139537930,1993,29.14,0.112847811,2.58E+13
12/31/1992,"23,967,172,718","3,804,463,796",0,27771636514,1992,27.77,0.109310874,2.54E+13
12/31/1991,"23,378,573,926","3,285,717,796",0,26664291722,1991,26.66,0.112225469,2.38E+13
12/31/1990,"20,731,851,093","2,571,911,617",0,23303762710,1990,23.3,0.102299317,2.28E+13
12/31/1989,"22,315,104,224","2,334,886,562",0,24649990786,1989,24.65,0.122065892,2.02E+13
12/31/1988,"24,750,004,884","1,773,964,293",0,26523969177,1988,26.52,0.137159854,1.93E+13
12/31/1987,"28,751,979,125","1,866,342,930",0,30618322055,1987,30.62,0.176910504,1.73E+13
12/31/1986,"33,334,905,644","2,013,169,931",0,35348075575,1986,35.35,0.232471832,1.52E+13
12/31/1985,"35,194,787,249","2,470,247,948",0,37665035197,1985,37.67,0.292883037,1.29E+13
12/31/1984,"34,936,772,393","2,769,874,900",0,37706647293,1984,37.71,0.307312839,1.23E+13