Date,Growth Rate,Sector
Jan-01,6.8,Private sector - total
Feb-01,6.7,Private sector - total
Mar-01,5.1,Private sector - total
Apr-01,5.4,Private sector - total
May-01,5.1,Private sector - total
Jun-01,5.1,Private sector - total
Jul-01,4.5,Private sector - total
Aug-01,4.4,Private sector - total
Sep-01,4.2,Private sector - total
Oct-01,3.8,Private sector - total
Nov-01,3.5,Private sector - total
Dec-01,2.9,Private sector - total
Jan-02,2.9,Private sector - total
Feb-02,2.9,Private sector - total
Mar-02,3.2,Private sector - total
Apr-02,3.5,Private sector - total
May-02,3.7,Private sector - total
Jun-02,3.6,Private sector - total
Jul-02,3.4,Private sector - total
Aug-02,3,Private sector - total
Sep-02,2.7,Private sector - total
Oct-02,2.3,Private sector - total
Nov-02,2.1,Private sector - total
Dec-02,1.8,Private sector - total
Jan-03,2.7,Private sector - total
Feb-03,2.9,Private sector - total
Mar-03,3.2,Private sector - total
Apr-03,2.4,Private sector - total
May-03,2.3,Private sector - total
Jun-03,2.2,Private sector - total
Jul-03,2.5,Private sector - total
Aug-03,3,Private sector - total
Sep-03,3.4,Private sector - total
Oct-03,3.6,Private sector - total
Nov-03,3.8,Private sector - total
Dec-03,3.7,Private sector - total
Jan-04,3.6,Private sector - total
Feb-04,3.6,Private sector - total
Mar-04,4,Private sector - total
Apr-04,4.2,Private sector - total
May-04,4.4,Private sector - total
Jun-04,4.4,Private sector - total
Jul-04,4.6,Private sector - total
Aug-04,4.7,Private sector - total
Sep-04,4.8,Private sector - total
Oct-04,4.9,Private sector - total
Nov-04,4.7,Private sector - total
Dec-04,5.1,Private sector - total
Jan-05,4.8,Private sector - total
Feb-05,4.6,Private sector - total
Mar-05,4,Private sector - total
Apr-05,3.9,Private sector - total
May-05,4.1,Private sector - total
Jun-05,4.5,Private sector - total
Jul-05,4.7,Private sector - total
Aug-05,4.5,Private sector - total
Sep-05,4.4,Private sector - total
Oct-05,4.2,Private sector - total
Nov-05,4,Private sector - total
Dec-05,4.4,Private sector - total
Jan-06,5,Private sector - total
Feb-06,5.6,Private sector - total
Mar-06,5.4,Private sector - total
Apr-06,5.5,Private sector - total
May-06,5.4,Private sector - total
Jun-06,5,Private sector - total
Jul-06,4.3,Private sector - total
Aug-06,4.3,Private sector - total
Sep-06,4.5,Private sector - total
Oct-06,5.3,Private sector - total
Nov-06,6.1,Private sector - total
Dec-06,7.2,Private sector - total
Jan-07,6.5,Private sector - total
Feb-07,5.7,Private sector - total
Mar-07,4.7,Private sector - total
Apr-07,4.7,Private sector - total
May-07,4.9,Private sector - total
Jun-07,5.1,Private sector - total
Jul-07,5.7,Private sector - total
Aug-07,5.4,Private sector - total
Sep-07,5.3,Private sector - total
Oct-07,4.3,Private sector - total
Nov-07,4.1,Private sector - total
Dec-07,3.8,Private sector - total
Jan-08,4.4,Private sector - total
Feb-08,4.7,Private sector - total
Mar-08,4.8,Private sector - total
Apr-08,4.3,Private sector - total
May-08,3.8,Private sector - total
Jun-08,3.2,Private sector - total
Jul-08,2.8,Private sector - total
Aug-08,2.9,Private sector - total
Sep-08,2.6,Private sector - total
Oct-08,2.6,Private sector - total
Nov-08,1.9,Private sector - total
Dec-08,-0.5,Private sector - total
Jan-09,-3.5,Private sector - total
Feb-09,-3.6,Private sector - total
Mar-09,-1.8,Private sector - total
Apr-09,0.3,Private sector - total
May-09,-0.1,Private sector - total
Jun-09,-0.2,Private sector - total
Jul-09,-0.4,Private sector - total
Aug-09,-0.5,Private sector - total
Sep-09,-0.6,Private sector - total
Oct-09,-0.5,Private sector - total
Nov-09,-0.3,Private sector - total
Dec-09,1.8,Private sector - total
Jan-10,4.3,Private sector - total
Feb-10,4.2,Private sector - total
Mar-10,2.5,Private sector - total
Apr-10,0.1,Private sector - total
May-10,0.7,Private sector - total
Jun-10,1,Private sector - total
Jul-10,1.7,Private sector - total
Aug-10,1.8,Private sector - total
Sep-10,1.9,Private sector - total
Oct-10,1.6,Private sector - total
Nov-10,2.5,Private sector - total
Dec-10,2.3,Private sector - total
Jan-11,2.7,Private sector - total
Feb-11,1.9,Private sector - total
Mar-11,2.2,Private sector - total
Apr-11,2.5,Private sector - total
May-11,2.7,Private sector - total
Jun-11,2.6,Private sector - total
Jul-11,2.1,Private sector - total
Aug-11,1.9,Private sector - total
Sep-11,2,Private sector - total
Oct-11,2.2,Private sector - total
Nov-11,1.3,Private sector - total
Dec-11,0.9,Private sector - total
Jan-12,0.5,Private sector - total
Feb-12,1.4,Private sector - total
Mar-12,1.7,Private sector - total
Apr-12,1.9,Private sector - total
May-12,1.7,Private sector - total
Jun-12,1.8,Private sector - total
Jul-12,1.8,Private sector - total
Aug-12,1.6,Private sector - total
Sep-12,1.4,Private sector - total
Oct-12,1.2,Private sector - total
Nov-12,1.1,Private sector - total
Dec-12,1.1,Private sector - total
Jan-13,0.5,Private sector - total
Feb-13,1.6,Private sector - total
Mar-13,1.8,Private sector - total
Apr-13,2.5,Private sector - total
May-13,1.4,Private sector - total
Jun-13,1.1,Private sector - total
Jul-13,1,Private sector - total
Aug-13,1.1,Private sector - total
Sep-13,1.1,Private sector - total
Oct-13,1.3,Private sector - total
Nov-13,1.5,Private sector - total
Dec-13,2.1,Private sector - total
Jan-14,1.8,Private sector - total
Feb-14,0.6,Private sector - total
Mar-14,-0.1,Private sector - total
Apr-14,0.1,Private sector - total
May-14,0.8,Private sector - total
Jun-14,1,Private sector - total
Jul-14,1,Private sector - total
Aug-14,1.7,Private sector - total
Sep-14,2.1,Private sector - total
Oct-14,2.4,Private sector - total
Nov-14,2.2,Private sector - total
Dec-14,2,Private sector - total
Jan-15,2.8,Private sector - total
Feb-15,3.3,Private sector - total
Mar-15,3.7,Private sector - total
Apr-15,2.8,Private sector - total
May-15,3.2,Private sector - total
Jun-15,3.4,Private sector - total
Jul-15,3.3,Private sector - total
Aug-15,2.6,Private sector - total
Sep-15,2.1,Private sector - total
Oct-15,2.1,Private sector - total
Nov-15,2.4,Private sector - total
Dec-15,2.2,Private sector - total
Jan-16,2.5,Private sector - total
Feb-16,2.3,Private sector - total
Mar-16,2.7,Private sector - total
Apr-16,2.6,Private sector - total
May-16,2.6,Private sector - total
Jun-16,2.5,Private sector - total
Jul-16,2.6,Private sector - total
Aug-16,2.7,Private sector - total
Sep-16,3,Private sector - total
Oct-16,2.7,Private sector - total
Nov-16,2.3,Private sector - total
Dec-16,2.3,Private sector - total
Jan-17,2.4,Private sector - total
Feb-17,2.5,Private sector - total
Mar-17,2.1,Private sector - total
Apr-17,2.5,Private sector - total
May-17,2.3,Private sector - total
Jun-17,2.5,Private sector - total
Jul-17,2.4,Private sector - total
Aug-17,2.7,Private sector - total
Sep-17,2.6,Private sector - total
Oct-17,2.7,Private sector - total
Nov-17,2.8,Private sector - total
Dec-17,2.9,Private sector - total
Jan-18,2.9,Private sector - total
Feb-18,2.8,Private sector - total
Mar-18,2.8,Private sector - total
Apr-18,2.2,Private sector - total
May-18,2.6,Private sector - total
Jun-18,2.9,Private sector - total
Jul-18,3.2,Private sector - total
Aug-18,3.5,Private sector - total
Sep-18,3.5,Private sector - total
Oct-18,3.6,Private sector - total
Nov-18,3.5,Private sector - total
Dec-18,3.7,Private sector - total
Jan-19,3.4,Private sector - total
Feb-19,3.4,Private sector - total
Mar-19,3.4,Private sector - total
Apr-19,3.9,Private sector - total
May-19,3.9,Private sector - total
Jun-19,3.9,Private sector - total
Jul-19,3.9,Private sector - total
Aug-19,3.3,Private sector - total
Sep-19,3.1,Private sector - total
Oct-19,2.6,Private sector - total
Nov-19,2.9,Private sector - total
Dec-19,2.7,Private sector - total
Jan-20,2.3,Private sector - total
Feb-20,0.6,Private sector - total
Mar-20,-1.2,Private sector - total
Apr-20,-2.5,Private sector - total
May-20,-2.1,Private sector - total
Jun-20,-0.7,Private sector - total
Jul-20,0.9,Private sector - total
Aug-20,2.4,Private sector - total
Sep-20,3.6,Private sector - total
Oct-20,4.5,Private sector - total
Nov-20,4.7,Private sector - total
Dec-20,4.3,Private sector - total
Jan-21,3.8,Private sector - total
Feb-21,5.7,Private sector - total
Mar-21,8.1,Private sector - total
Apr-21,10.5,Private sector - total
May-21,9.8,Private sector - total
Jun-21,8.2,Private sector - total
Jul-21,6.6,Private sector - total
Aug-21,5.5,Private sector - total
Sep-21,4.6,Private sector - total
Oct-21,5.1,Private sector - total
Nov-21,5.5,Private sector - total
Dec-21,6.5,Private sector - total
Jan-22,8.1,Private sector - total
Feb-22,8,Private sector - total
Mar-22,7.4,Private sector - total
Apr-22,6,Private sector - total
May-22,6.3,Private sector - total
Jun-22,6.8,Private sector - total
Jan-01,3.2,Public sector - total
Feb-01,4.2,Public sector - total
Mar-01,5.3,Public sector - total
Apr-01,5.8,Public sector - total
May-01,5.8,Public sector - total
Jun-01,6,Public sector - total
Jul-01,6.2,Public sector - total
Aug-01,6.2,Public sector - total
Sep-01,5.7,Public sector - total
Oct-01,5.5,Public sector - total
Nov-01,5.1,Public sector - total
Dec-01,4.9,Public sector - total
Jan-02,4.6,Public sector - total
Feb-02,4.2,Public sector - total
Mar-02,4,Public sector - total
Apr-02,3.7,Public sector - total
May-02,3.8,Public sector - total
Jun-02,3.3,Public sector - total
Jul-02,3.2,Public sector - total
Aug-02,3,Public sector - total
Sep-02,3.7,Public sector - total
Oct-02,4.3,Public sector - total
Nov-02,4.5,Public sector - total
Dec-02,4.5,Public sector - total
Jan-03,4.2,Public sector - total
Feb-03,4.3,Public sector - total
Mar-03,4.1,Public sector - total
Apr-03,4.4,Public sector - total
May-03,4.4,Public sector - total
Jun-03,5.3,Public sector - total
Jul-03,5.5,Public sector - total
Aug-03,5.6,Public sector - total
Sep-03,5,Public sector - total
Oct-03,4.7,Public sector - total
Nov-03,4.6,Public sector - total
Dec-03,4.6,Public sector - total
Jan-04,4.5,Public sector - total
Feb-04,4.6,Public sector - total
Mar-04,4.7,Public sector - total
Apr-04,4.6,Public sector - total
May-04,4.3,Public sector - total
Jun-04,3.9,Public sector - total
Jul-04,3.8,Public sector - total
Aug-04,4.1,Public sector - total
Sep-04,4.4,Public sector - total
Oct-04,4.4,Public sector - total
Nov-04,4.6,Public sector - total
Dec-04,4.5,Public sector - total
Jan-05,4.9,Public sector - total
Feb-05,5,Public sector - total
Mar-05,5.4,Public sector - total
Apr-05,5.4,Public sector - total
May-05,5.5,Public sector - total
Jun-05,5.6,Public sector - total
Jul-05,5.7,Public sector - total
Aug-05,5.5,Public sector - total
Sep-05,5.2,Public sector - total
Oct-05,4.9,Public sector - total
Nov-05,4.8,Public sector - total
Dec-05,4.9,Public sector - total
Jan-06,4.5,Public sector - total
Feb-06,4.2,Public sector - total
Mar-06,3.5,Public sector - total
Apr-06,3.6,Public sector - total
May-06,3.5,Public sector - total
Jun-06,3.3,Public sector - total
Jul-06,3,Public sector - total
Aug-06,2.8,Public sector - total
Sep-06,2.8,Public sector - total
Oct-06,2.9,Public sector - total
Nov-06,3.2,Public sector - total
Dec-06,3.1,Public sector - total
Jan-07,3.3,Public sector - total
Feb-07,3.1,Public sector - total
Mar-07,3.5,Public sector - total
Apr-07,3.4,Public sector - total
May-07,3.3,Public sector - total
Jun-07,3.2,Public sector - total
Jul-07,3.2,Public sector - total
Aug-07,3.3,Public sector - total
Sep-07,3.3,Public sector - total
Oct-07,3.2,Public sector - total
Nov-07,3.2,Public sector - total
Dec-07,3.3,Public sector - total
Jan-08,3.4,Public sector - total
Feb-08,3.8,Public sector - total
Mar-08,3.7,Public sector - total
Apr-08,3.4,Public sector - total
May-08,3.4,Public sector - total
Jun-08,3.5,Public sector - total
Jul-08,3.9,Public sector - total
Aug-08,3.7,Public sector - total
Sep-08,3.7,Public sector - total
Oct-08,3.5,Public sector - total
Nov-08,3.3,Public sector - total
Dec-08,3.1,Public sector - total
Jan-09,2.7,Public sector - total
Feb-09,2.7,Public sector - total
Mar-09,2.6,Public sector - total
Apr-09,3.3,Public sector - total
May-09,3.4,Public sector - total
Jun-09,3.7,Public sector - total
Jul-09,3.6,Public sector - total
Aug-09,3.7,Public sector - total
Sep-09,3.8,Public sector - total
Oct-09,3.6,Public sector - total
Nov-09,3.7,Public sector - total
Dec-09,3.7,Public sector - total
Jan-10,4.5,Public sector - total
Feb-10,4.3,Public sector - total
Mar-10,4.4,Public sector - total
Apr-10,3.6,Public sector - total
May-10,3.4,Public sector - total
Jun-10,2.9,Public sector - total
Jul-10,2.7,Public sector - total
Aug-10,2.8,Public sector - total
Sep-10,2.8,Public sector - total
Oct-10,3.2,Public sector - total
Nov-10,3.4,Public sector - total
Dec-10,3.4,Public sector - total
Jan-11,3.1,Public sector - total
Feb-11,2.8,Public sector - total
Mar-11,2.6,Public sector - total
Apr-11,2.8,Public sector - total
May-11,3.1,Public sector - total
Jun-11,3.1,Public sector - total
Jul-11,2.6,Public sector - total
Aug-11,2.1,Public sector - total
Sep-11,1.9,Public sector - total
Oct-11,1.6,Public sector - total
Nov-11,1.2,Public sector - total
Dec-11,1.1,Public sector - total
Jan-12,1,Public sector - total
Feb-12,1.2,Public sector - total
Mar-12,1.3,Public sector - total
Apr-12,1.3,Public sector - total
May-12,1.2,Public sector - total
Jun-12,1.9,Public sector - total
Jul-12,2.3,Public sector - total
Aug-12,2.7,Public sector - total
Sep-12,2.1,Public sector - total
Oct-12,2,Public sector - total
Nov-12,2,Public sector - total
Dec-12,1.7,Public sector - total
Jan-13,1.4,Public sector - total
Feb-13,1.3,Public sector - total
Mar-13,1.4,Public sector - total
Apr-13,0.9,Public sector - total
May-13,0.4,Public sector - total
Jun-13,-0.5,Public sector - total
Jul-13,-0.6,Public sector - total
Aug-13,-0.7,Public sector - total
Sep-13,-0.2,Public sector - total
Oct-13,-0.1,Public sector - total
Nov-13,-0.1,Public sector - total
Dec-13,0.1,Public sector - total
Jan-14,0.7,Public sector - total
Feb-14,0.7,Public sector - total
Mar-14,0.5,Public sector - total
Apr-14,0.4,Public sector - total
May-14,0.7,Public sector - total
Jun-14,1,Public sector - total
Jul-14,0.8,Public sector - total
Aug-14,0.7,Public sector - total
Sep-14,0.7,Public sector - total
Oct-14,0.8,Public sector - total
Nov-14,0.8,Public sector - total
Dec-14,0.9,Public sector - total
Jan-15,0.3,Public sector - total
Feb-15,0.4,Public sector - total
Mar-15,0.4,Public sector - total
Apr-15,0.9,Public sector - total
May-15,0.9,Public sector - total
Jun-15,1,Public sector - total
Jul-15,1.3,Public sector - total
Aug-15,1.4,Public sector - total
Sep-15,1.5,Public sector - total
Oct-15,1.3,Public sector - total
Nov-15,1.4,Public sector - total
Dec-15,1.3,Public sector - total
Jan-16,1.5,Public sector - total
Feb-16,1.6,Public sector - total
Mar-16,1.6,Public sector - total
Apr-16,1.8,Public sector - total
May-16,1.6,Public sector - total
Jun-16,1.8,Public sector - total
Jul-16,1.5,Public sector - total
Aug-16,1.5,Public sector - total
Sep-16,1.3,Public sector - total
Oct-16,1.5,Public sector - total
Nov-16,1.4,Public sector - total
Dec-16,1.3,Public sector - total
Jan-17,1.2,Public sector - total
Feb-17,1.1,Public sector - total
Mar-17,1.4,Public sector - total
Apr-17,1.3,Public sector - total
May-17,1.6,Public sector - total
Jun-17,1.5,Public sector - total
Jul-17,1.7,Public sector - total
Aug-17,1.9,Public sector - total
Sep-17,1.9,Public sector - total
Oct-17,2,Public sector - total
Nov-17,2,Public sector - total
Dec-17,2.3,Public sector - total
Jan-18,2.4,Public sector - total
Feb-18,2.4,Public sector - total
Mar-18,2.1,Public sector - total
Apr-18,2.2,Public sector - total
May-18,2.4,Public sector - total
Jun-18,2.8,Public sector - total
Jul-18,2.8,Public sector - total
Aug-18,2.7,Public sector - total
Sep-18,2.7,Public sector - total
Oct-18,2.8,Public sector - total
Nov-18,2.8,Public sector - total
Dec-18,2.6,Public sector - total
Jan-19,2.5,Public sector - total
Feb-19,3.1,Public sector - total
Mar-19,3.6,Public sector - total
Apr-19,4,Public sector - total
May-19,3.8,Public sector - total
Jun-19,3.5,Public sector - total
Jul-19,3.3,Public sector - total
Aug-19,3.1,Public sector - total
Sep-19,3.3,Public sector - total
Oct-19,3.3,Public sector - total
Nov-19,3.2,Public sector - total
Dec-19,3.3,Public sector - total
Jan-20,3.3,Public sector - total
Feb-20,3.3,Public sector - total
Mar-20,3.7,Public sector - total
Apr-20,4.1,Public sector - total
May-20,4.1,Public sector - total
Jun-20,3.8,Public sector - total
Jul-20,3.8,Public sector - total
Aug-20,4.1,Public sector - total
Sep-20,4.4,Public sector - total
Oct-20,4.4,Public sector - total
Nov-20,4.8,Public sector - total
Dec-20,5.1,Public sector - total
Jan-21,5.4,Public sector - total
Feb-21,4.9,Public sector - total
Mar-21,4,Public sector - total
Apr-21,2.9,Public sector - total
May-21,2.6,Public sector - total
Jun-21,2.6,Public sector - total
Jul-21,2.7,Public sector - total
Aug-21,2.7,Public sector - total
Sep-21,2.5,Public sector - total
Oct-21,2.6,Public sector - total
Nov-21,2.3,Public sector - total
Dec-21,1.9,Public sector - total
Jan-22,1.6,Public sector - total
Feb-22,1.5,Public sector - total
Mar-22,1.5,Public sector - total
Apr-22,1.8,Public sector - total
May-22,2,Public sector - total
Jun-22,2.4,Public sector - total