Country,CAF World Giving Index ranking,CAF World Giving Index score (%),Helping a stranger ranking,Helping a stranger (%),Donating money ranking,Donating money (%),"Volunteering time
ranking",Volunteering time (%)
United States of America,1,58,3,72,11,61,5,42
Myanmar,2,58,49,49,1,81,3,43
New Zealand,3,57,10,64,9,65,6,41
Australia,4,56,11,64,8,68,12,37
Ireland,5,56,16,62,7,69,10,38
Canada,6,55,9,64,10,63,11,37
United Kingdom,7,54,19,60,2,71,25,30
Netherlands,8,53,37,53,5,71,14,36
Sri Lanka,9,51,29,55,19,50,1,46
Indonesia,10,50,86,42,6,69,7,40
Kenya,11,47,4,68,34,38,13,37
Malta,12,47,70,45,3,71,43,24
Switzerland,13,45,58,48,13,56,22,32
United Arab Emirates,14,45,13,63,16,52,61,19
Austria,15,45,36,53,15,53,32,27
Denmark,16,44,42,52,12,58,50,22
Liberia,17,44,1,77,109,12,4,43
Germany,18,43,26,56,20,49,36,26
Turkmenistan,19,43,35,53,43,32,2,43
Sierra Leone,20,42,2,74,79,21,17,33
Thailand,21,42,89,41,4,71,79,15
Nigeria,22,42,7,66,56,27,21,32
Iran,23,41,25,56,22,48,55,20
Cyprus,24,41,33,53,25,44,41,25
Finland,25,41,41,52,27,42,31,28
Uzbekistan,25,41,31,54,36,35,18,33
Guatemala,26,40,28,55,42,32,15,34
Haiti,27,40,74,44,23,45,24,30
Luxembourg,28,40,97,39,17,51,27,29
Sweden,29,40,46,51,14,55,96,13
Malaysia,30,39,73,44,24,45,29,28
Dominican Republic,31,39,20,59,58,25,19,32
Zambia,32,39,5,67,72,22,30,28
Philippines,33,39,32,54,63,24,9,38
Israel,34,39,76,43,18,51,48,22
Uganda,35,38,6,66,69,22,35,26
Malawi,36,38,10,64,77,21,28,29
Mongolia,37,38,90,41,29,40,16,33
Ghana,38,38,22,58,60,25,26,30
Costa Rica,39,38,21,59,44,31,47,22
Slovenia,40,38,71,44,35,36,20,32
Chile,41,37,34,53,26,44,83,15
Belgium,42,36,72,44,30,39,39,25
Honduras,43,36,56,49,49,28,23,31
Tajikistan,44,36,54,49,89,19,8,39
South Africa,45,36,12,63,94,18,37,25
Singapore,46,35,96,39,21,48,59,19
Panama,47,35,60,47,43,32,38,25
"Taiwan, Provinceof China",48,35,59,48,32,38,66,18
Colombia,49,35,17,61,71,22,56,20
Saudi Arabia,50,34,15,62,50,28,92,13
Guinea,51,34,24,57,78,21,45,23
Iraq,52,34,8,65,66,23,94,13
Nepal,53,33,80,43,47,30,34,26
Italy,54,33,68,45,33,38,73,16
Kyrgyzstan,55,33,62,47,53,28,42,25
Cameroon,56,33,14,63,88,19,75,16
Republic of Korea,57,32,78,43,38,34,53,20
Spain,58,32,45,51,46,30,76,16
Tanzania,59,32,48,50,45,31,86,15
Paraguay,60,32,93,40,37,34,49,22
Bolivia,61,31,43,51,74,22,51,21
Kosovo,62,31,69,45,31,39,103,11
Afghanistan,63,31,44,51,59,25,71,17
Botswana,64,30,18,61,104,13,67,18
Uruguay,65,30,50,49,57,26,78,15
France,66,30,108,36,55,27,33,27
Lebanon,67,30,61,47,40,33,105,10
Nicaragua,68,30,85,42,54,28,54,20
Pakistan,69,29,81,42,41,32,93,13
Zimbabwe,70,29,30,55,118,10,52,21
Senegal,71,28,23,58,107,13,91,14
Peru,72,28,65,46,91,18,60,19
Mexico,73,28,67,45,83,20,65,18
Brazil,74,28,63,46,67,22,84,15
Argentina,75,28,52,49,92,18,75,16
Congo (Brazzaville),76,27,27,55,115,11,81,15
Gabon,77,27,24,57,111,12,99,11
Kazakhstan,78,26,98,39,76,21,58,20
Ethiopia,79,26,79,43,87,19,70,17
Moldova (Republic of),80,26,91,41,80,20,72,16
Bangladesh,81,26,47,51,100,16,100,11
India,82,26,113,34,62,24,63,19
Morocco,83,26,40,52,96,18,117,7
Vietnam,84,26,83,42,65,23,98,12
Mauritania,85,25,87,41,86,19,80,15
Poland,86,25,102,37,52,28,104,11
Burkina Faso,87,25,55,49,108,13,87,15
Portugal,88,25,82,42,85,20,90,14
Chad,89,25,75,43,99,16,77,16
Jordan,90,25,53,49,93,18,116,7
"Bosnia andHerzegovina",91,25,110,35,39,34,120,6
Belarus,92,25,118,32,96,18,40,25
El Salvador,93,25,77,43,106,13,64,18
Slovakia,94,25,117,32,51,28,89,14
Estonia,95,25,105,37,84,20,69,17
"Macedonia(Republic of North)",96,25,106,37,48,29,112,8
Romania,97,24,66,45,81,20,118,7
Ecuador,98,24,94,40,95,18,85,15
Azerbaijan,99,24,99,38,102,14,57,20
Mali,99,24,57,48,110,12,97,12
Niger,100,24,39,52,121,9,102,11
Ukraine,101,24,111,35,90,18,62,19
Cambodia,102,24,124,24,28,40,113,8
Tunisia,103,24,38,52,117,10,110,9
Egypt,104,23,51,49,101,16,121,6
Albania,105,23,95,39,75,21,107,9
Benin,106,23,86,42,105,13,88,15
Japan,107,23,125,24,64,23,46,22
Venezuela,108,23,84,42,103,13,95,13
Hungary,109,23,100,38,83,20,109,9
Latvia,110,22,116,32,61,25,106,10
Czech Republic,111,22,121,29,70,22,84,15
Georgia,112,21,88,41,124,6,68,18
"Democratic Republicof the Congo",113,21,103,37,114,11,82,15
Armenia,114,21,64,46,119,10,114,8
Rwanda,115,21,115,33,97,17,90,14
Madagascar,116,21,122,29,116,11,44,24
Russian Federation,117,21,112,35,112,12,74,16
Croatia,118,21,120,30,68,22,108,9
Montenegro,119,20,114,33,82,20,115,8
Bulgaria,120,19,107,36,98,16,124,5
Lithuania,121,19,104,37,113,12,101,11
State of Palestine,122,19,101,38,120,10,111,8
Serbia,123,19,123,28,73,22,122,6
Yemen,124,17,92,41,123,6,123,5
Greece,125,16,109,36,122,7,119,6
China,126,16,119,31,116,11,125,5